Date,Sponsored followers,Organic followers,Auto-invited followers,Total followers
05/10/2026,0,0,0,0
05/11/2026,0,0,0,0
05/12/2026,0,0,0,0
05/13/2026,0,0,0,0
05/14/2026,0,0,0,0
05/15/2026,0,0,0,0
05/16/2026,0,0,0,0
05/17/2026,0,0,0,0
05/18/2026,0,0,0,0
05/19/2026,0,0,0,0
05/20/2026,0,0,0,0
05/21/2026,0,0,0,0
05/22/2026,0,0,0,0
05/23/2026,0,0,0,0
05/24/2026,0,0,0,0
05/25/2026,0,0,0,0
05/26/2026,0,0,0,0
05/27/2026,0,0,0,0
05/28/2026,0,0,0,0
05/29/2026,0,0,0,0
05/30/2026,0,0,0,0
05/31/2026,0,0,0,0
06/01/2026,0,0,0,0
06/02/2026,0,0,0,0
06/03/2026,0,0,0,0
06/04/2026,0,0,0,0
06/05/2026,0,0,0,0
06/06/2026,0,0,0,0
06/07/2026,0,0,0,0
06/08/2026,0,0,0,0
06/09/2026,0,0,0,0
06/10/2026,0,0,0,0
06/11/2026,0,0,0,0
06/12/2026,0,0,0,0
06/13/2026,0,0,0,0
06/14/2026,0,0,0,0
06/15/2026,0,1,0,1
06/16/2026,0,0,0,0
06/17/2026,0,0,0,0
06/18/2026,0,15,0,15
06/19/2026,0,4,0,4
06/20/2026,0,29,0,29
06/21/2026,0,17,0,17
06/22/2026,0,6,0,6
06/23/2026,0,9,0,9
06/24/2026,0,1,0,1
06/25/2026,0,27,0,27
06/26/2026,0,25,0,25
06/27/2026,0,5,0,5
06/28/2026,0,6,0,6
06/29/2026,0,8,0,8
06/30/2026,0,3,0,3
07/01/2026,0,2,0,2
07/02/2026,0,2,0,2
07/03/2026,0,44,0,44
07/04/2026,0,6,0,6
07/05/2026,0,7,0,7
07/06/2026,0,6,0,6
07/07/2026,0,23,0,23
07/08/2026,0,14,0,14
07/09/2026,0,18,0,18
07/10/2026,0,20,0,20
07/11/2026,0,32,0,32
07/12/2026,0,24,0,24
07/13/2026,0,105,0,105
07/14/2026,0,67,0,67
07/15/2026,0,60,0,60
07/16/2026,0,47,0,47
07/17/2026,0,42,0,42
07/18/2026,0,29,0,29
07/19/2026,0,27,0,27
07/20/2026,0,43,0,43
07/21/2026,0,24,0,24
07/22/2026,0,17,0,17
07/23/2026,0,28,0,28
07/24/2026,0,20,0,20
07/25/2026,0,22,0,22
07/26/2026,0,28,0,28
07/27/2026,0,48,0,48
07/28/2026,0,50,0,50
07/29/2026,0,74,0,74
07/30/2026,0,129,11,140
07/31/2026,0,110,17,127
08/01/2026,0,112,16,128
08/02/2026,0,89,23,112
08/03/2026,0,97,11,108
08/04/2026,0,70,9,79
08/05/2026,0,107,5,112
08/06/2026,0,118,3,121
08/07/2026,0,139,7,146
